"","name","father","stock","glottocode","iso","wals","level","longitude","latitude","population"
"aala1237","Aalawa","Ramoaaina","Austronesian","aala1237",NA,NA,"dialect",NA,NA,NA
"aant1238","Aantantara","North Tairora","Nuclear Trans New Guinea","aant1238",NA,NA,"dialect",NA,NA,NA
"aari1238","Aari-Gayil","AHK","South Omotic","aari1238",NA,NA,"family",NA,NA,NA
"aari1239","Aari","Aari-Gayil","South Omotic","aari1239","aiw","aar","language",36.5721,5.95034,NA
"aasa1238","Aasax","Unclassified South Cushitic","Afro-Asiatic","aasa1238","aas",NA,"language",36.8648,-4.00679,350
"aata1238","Aatasaara","South Tairora","Nuclear Trans New Guinea","aata1238",NA,NA,"dialect",NA,NA,NA
"abaa1238","Aba","Tibetan","Sino-Tibetan","abaa1238",NA,NA,"dialect",NA,NA,NA
"abab1239","Ababda","Beja","Afro-Asiatic","abab1239",NA,NA,"dialect",NA,NA,NA
"abab1240","Ababuan","Narrow Bantu","Atlantic-Congo","abab1240",NA,NA,"family",NA,NA,NA
"abad1240","Abadzex","Adyghe","Abkhaz-Adyge","abad1240",NA,NA,"dialect",NA,NA,NA
"abad1241","Abadi","West Central Papuan linkage","Austronesian","abad1241","kbt",NA,"language",146.992,-9.03389,4300
"abag1245","Abaga","Kamano-Yagaria","Nuclear Trans New Guinea","abag1245","abg",NA,"language",145.665,-6.12028,5
"abai1240","Abai Sungai","Paitanic","Austronesian","abai1240","abf",NA,"language",118.306,5.55394,500
"abai1241","Abai Tubu-Abai Sembuak","Murutic","Austronesian","abai1241",NA,NA,"language",NA,NA,NA
"abak1242","Abak","Anaang","Atlantic-Congo","abak1242",NA,NA,"dialect",NA,NA,NA
"abak1243","Abaka","Ilongot","Austronesian","abak1243",NA,NA,"dialect",NA,NA,NA
"abal1238","Abaletti","Yele","Yele","abal1238",NA,NA,"dialect",NA,NA,NA
"abam1239","Abam","Wipi","Eastern Trans-Fly","abam1239",NA,NA,"dialect",NA,NA,NA
"aban1242","Abanyom","Abanyom-Ekajuk","Atlantic-Congo","aban1242","abm",NA,"language",8.63055,6.30619,12500
"aban1243","Abancay","Eastern Apurímac Quechua","Quechuan","aban1243",NA,NA,"dialect",NA,NA,NA
"aban1244","Abanyom-Ekajuk","Efutop-Ekajuk","Atlantic-Congo","aban1244",NA,NA,"family",NA,NA,NA
"abar1238","Abar","Southern Bantoid","Atlantic-Congo","abar1238","mij",NA,"language",10.2267,6.5805,2000
"abau1245","Abau","Sepik","Sepik","abau1245","aau","aba","language",141.324,-3.97222,7267
"abaw1238","Abawa","Gupa-Abawa","Atlantic-Congo","abaw1238",NA,NA,"dialect",NA,NA,NA
"abay1238","Abayongo","Agwagwune","Atlantic-Congo","abay1238",NA,NA,"dialect",NA,NA,NA
"abaz1241","Abaza","Abkhaz-Abaza","Abkhaz-Adyge","abaz1241","abq","abz","language",42.7273,41.1214,48280
"abbe1238","Abbey-Ve","Abé","Atlantic-Congo","abbe1238",NA,NA,"dialect",NA,NA,NA
"abbr1238","Abbruzzesi","Sinte Romani","Indo-European","abbr1238",NA,NA,"dialect",NA,NA,NA
"abda1238","’Abd Al-Kuri","Soqotri","Afro-Asiatic","abda1238",NA,NA,"dialect",NA,NA,NA
"abed1238","Abedju-Azaki","Lugbara","Central Sudanic","abed1238",NA,NA,"dialect",NA,NA,NA
"abee1242","Abé","Agneby","Atlantic-Congo","abee1242","aba",NA,"language",-4.38497,5.59682,170000
"abee1243","Abe [Anyin]","Anyin","Atlantic-Congo","abee1243",NA,NA,"dialect",NA,NA,NA
"abel1234","Abellen-Botolan","Sambalic","Austronesian","abel1234",NA,NA,"family",NA,NA,NA
"aben1247","Abeng","Garo","Sino-Tibetan","aben1247",NA,NA,"dialect",NA,NA,NA
"aben1248","A’beng","Garo","Sino-Tibetan","aben1248",NA,NA,"dialect",NA,NA,NA
"aben1249","Abenlen Ayta","Abellen-Botolan","Austronesian","aben1249","abp",NA,"language",120.2,15.4131,3000
"abgu1238","Abgue","Birgit","Afro-Asiatic","abgu1238",NA,NA,"dialect",NA,NA,NA
"abid1235","Abidji","Agneby","Atlantic-Congo","abid1235","abi","abd","language",-4.58421,5.65656,50500
"abie1238","Abiem","Southwestern Dinka","Nilotic","abie1238",NA,NA,"dialect",NA,NA,NA
"abig1238","Abigar","Nuer","Nilotic","abig1238",NA,NA,"dialect",NA,NA,NA
"abil1238","Abiliang","Northeastern Dinka","Nilotic","abil1238",NA,NA,"dialect",NA,NA,NA
"abin1242","Abini","Agwagwune","Atlantic-Congo","abin1242",NA,NA,"dialect",NA,NA,NA
"abin1243","Abinomn","Sahul","Abinomn","abin1243","bsa",NA,"language",138.891,-2.92281,300
"abip1241","Abipon","Guaicuru del Sur","Guaicuruan","abip1241","axb","abi","language",-61,-29,NA
"abis1238","Aewa","South America","Aewa","abis1238","ash",NA,"language",-75.2183,-0.69386,NA
"abka1238","Abkar","Maba [Chad]","Maban","abka1238",NA,NA,"dialect",NA,NA,NA
"abkh1242","Abkhaz-Adyge","Eurasia","Abkhaz-Adyge","abkh1242",NA,NA,"family",NA,NA,NA
"abkh1243","Abkhaz-Abaza","Abkhaz-Adyge","Abkhaz-Adyge","abkh1243",NA,NA,"family",NA,NA,NA
