ID	NAME
aka	Akan
ara	Arabic
aym	Aymara
aze	Azerbaijani
bal	Baluchi
bik	Bikol
bnc	Bontok
bua	Buriat
chm	Mari
cre	Cree
del	Delaware
den	Slave
din	Dinka
doi	Dogri
est	Estonian
fas	Persian
ful	Fulah
gba	Gbaya
gon	Gondi
grb	Grebo
grn	Guarani
hai	Haida
hbs	Serbo-Croatian
hmn	Hmong
iku	Inuktitut
ipk	Inupiaq
jrb	Judeo-Arabic
kau	Kanuri
kln	Kalenjin
kok	Konkani
kom	Komi
kon	Kongo
kpe	Kpelle
kur	Kurdish
lah	Lahnda
lav	Latvian
luy	Luyia
man	Mandingo
mlg	Malagasy
mon	Mongolian
msa	Malay
mwr	Marwari
nep	Nepali
nor	Norwegian
oji	Ojibwa
ori	Oriya
orm	Oromo
pus	Pushto
que	Quechua
raj	Rajasthani
rom	Romany
sqi	Albanian
srd	Sardinian
swa	Swahili
syr	Syriac
tmh	Tamashek
uzb	Uzbek
yid	Yiddish
zap	Zapotec
zha	Zhuang
zho	Chinese
zza	Zaza
